,symbol,price_change,percent_change,last_price,high,low,volume
563,TUT/USDT,0.03146,249.485,0.04407,0.058,0.01261,43644004.85773
564,BROCCOLI714/USDT,0.02548,64.835,0.06478,0.088,0.0393,13886949.75544
347,BNX/USDT,0.2204,14.115,1.7819,2.12,1.3421,169688336.82266
565,BANANAS31/USDT,0.000495,9.347,0.005791,0.01,0.005296,9163122.387532
547,BERA/USDT,0.634,7.978,8.581,8.757,7.942,68495105.282269
509,TON/USDT,0.283,7.555,4.029,4.091,3.737,56163188.19904
328,VIDT/USDT,0.00096,6.887,0.0149,0.01549,0.01367,3388376.38454
557,BMT/USDT,0.0088,6.132,0.1523,0.1532,0.137,10526063.84155
467,BLUR/USDT,0.0072,6.035,0.1265,0.1293,0.1183,5460197.73603
382,API3/USDT,0.062,5.167,1.262,1.278,1.126,10851772.77743
115,STPT/USDT,0.00226,4.708,0.05026,0.05628,0.04785,19269991.500838
345,AUCTION/USDT,0.86,4.584,19.62,19.67,16.94,27357544.6839
558,FORM/USDT,0.1024,4.509,2.3735,2.5104,2.2564,20237428.83056
441,SUI/USDT,0.1035,3.903,2.7555,2.8309,2.64,246223590.0956
319,GHST/USDT,0.017,3.295,0.533,0.539,0.51,1709177.1078
461,TIA/USDT,0.114,3.112,3.777,3.813,3.624,15417939.76928
540,AIXBT/USDT,0.0034,2.707,0.129,0.1446,0.1204,28898203.02488
253,TRU/USDT,0.001,2.37,0.0432,0.044,0.0403,1723988.8136
468,VANRY/USDT,0.0007,2.017,0.0354,0.0365,0.0337,6943638.0759
149,MKR/USDT,21.0,1.455,1464.0,1495.0,1391.0,25552450.1852
174,PAXG/USDT,40.0,1.318,3074.0,3077.0,3033.0,8440798.739
2,BNB/USDT,7.96,1.274,632.83,642.5,624.78,486401275.88803
91,FTT/USDT,0.0139,1.216,1.1567,1.1818,1.1234,2159441.60351
318,REQ/USDT,0.0013,1.098,0.1197,0.1216,0.1175,843864.9194
525,CETUS/USDT,0.0014,1.084,0.1306,0.1349,0.1259,7104383.48376
211,AAVE/USDT,1.84,1.006,184.82,187.01,179.72,20758985.14376
431,PROM/USDT,0.058,0.953,6.147,6.2,5.968,610351.21338
497,TAO/USDT,2.3,0.87,266.7,278.2,262.8,28749306.19337
384,ACA/USDT,0.0003,0.685,0.0441,0.045,0.0431,762093.575779
542,COOKIE/USDT,0.0009,0.661,0.137,0.145,0.1339,2773566.99861
14,TRX/USDT,0.0013,0.562,0.2325,0.2353,0.2312,74187790.33365
506,G/USDT,9e-05,0.534,0.01695,0.01777,0.01649,2031399.74945
282,BAR/USDT,0.009,0.518,1.745,1.769,1.726,732366.27632
305,DEXE/USDT,0.089,0.499,17.93,18.287,17.403,2194693.96991
549,TST/USDT,0.0003,0.478,0.0631,0.0652,0.0596,24746163.9031
366,BICO/USDT,0.0006,0.457,0.1318,0.134,0.1266,1246523.567902
553,SHELL/USDT,0.0009,0.337,0.2683,0.283,0.2657,4415378.83199
450,ARKM/USDT,0.002,0.317,0.633,0.642,0.601,7198591.3771
201,SUN/USDT,5e-05,0.302,0.01663,0.01687,0.0165,936731.43933
167,CRV/USDT,0.0017,0.293,0.5825,0.61,0.5716,44547825.83776
164,JST/USDT,9e-05,0.289,0.03128,0.03158,0.03119,454752.012799
92,EUR/USDT,0.0031,0.288,1.0797,1.0817,1.0748,40210825.63241
289,AR/USDT,0.02,0.266,7.54,7.64,7.24,3960098.5133
511,EURI/USDT,0.0026,0.241,1.0797,1.0817,1.075,2340176.16367
518,HMSTR/USDT,5e-06,0.231,0.002171,0.002198,0.002086,1789496.184881
453,FDUSD/USDT,0.0023,0.23,1.0006,1.0007,0.9983,776003178.5418
333,SYS/USDT,0.0001,0.201,0.0498,0.0506,0.0477,1131726.2369
146,DGB/USDT,2e-05,0.177,0.01132,0.01168,0.0104,4464613.258363
136,SC/USDT,4e-06,0.115,0.003491,0.003509,0.003435,604568.971465
23,USDC/USDT,0.0003,0.03,1.0002,1.0004,0.9998,1658617635.1839
559,XUSD/USDT,0.0001,0.01,1.0001,1.0004,0.9998,4848704.0557
235,AAVEDOWN/USDT,0.0,0.0,0.0,0.0,0.0,0.0
234,AAVEUP/USDT,0.0,0.0,0.0,0.0,0.0,0.0
44,MATIC/USDT,0.0,0.0,0.0,0.0,0.0,0.0
43,MITH/USDT,0.0,0.0,0.0,0.0,0.0,0.0
233,XEM/USDT,0.0,0.0,0.0,0.0,0.0,0.0
230,UNFI/USDT,0.0,0.0,0.0,0.0,0.0,0.0
40,OMG/USDT,0.0,0.0,0.0,0.0,0.0,0.0
39,NANO/USDT,0.0,0.0,0.0,0.0,0.0,0.0
280,BTG/USDT,0.0,0.0,0.0,0.0,0.0,0.0
281,MIR/USDT,0.0,0.0,0.0,0.0,0.0,0.0
278,1INCHUP/USDT,0.0,0.0,0.0,0.0,0.0,0.0
279,1INCHDOWN/USDT,0.0,0.0,0.0,0.0,0.0,0.0
257,LIT/USDT,0.0,0.0,0.0,0.0,0.0,0.0
252,BTCST/USDT,0.0,0.0,0.0,0.0,0.0,0.0
291,MDX/USDT,0.0,0.0,0.0,0.0,0.0,0.0
290,POLS/USDT,0.0,0.0,0.0,0.0,0.0,0.0
67,DOCK/USDT,0.0,0.0,0.0,0.0,0.0,0.0
66,STORM/USDT,0.0,0.0,0.0,0.0,0.0,0.0
65,KEY/USDT,0.0,0.0,0.0,0.0,0.0,0.0
64,MFT/USDT,0.0,0.0,0.0,0.0,0.0,0.0
62,PERL/USDT,0.0,0.0,0.0,0.0,0.0,0.0
61,TOMO/USDT,0.0,0.0,0.0,0.0,0.0,0.0
59,COCOS/USDT,0.0,0.0,0.0,0.0,0.0,0.0
58,NPXS/USDT,0.0,0.0,0.0,0.0,0.0,0.0
52,ERD/USDT,0.0,0.0,0.0,0.0,0.0,0.0
76,REN/USDT,0.0,0.0,0.0,0.0,0.0,0.0
73,BUSD/USDT,0.0,0.0,0.0,0.0,0.0,0.0
74,BEAM/USDT,0.0,0.0,0.0,0.0,0.0,0.0
51,GTO/USDT,0.0,0.0,0.0,0.0,0.0,0.0
50,USDSB/USDT,0.0,0.0,0.0,0.0,0.0,0.0
49,ALGO/USDT,0.0,0.0,0.2109,0.216,0.2057,7525950.8071
48,FTM/USDT,0.0,0.0,0.0,0.0,0.0,0.0
110,AION/USDT,0.0,0.0,0.0,0.0,0.0,0.0
109,STRAT/USDT,0.0,0.0,0.0,0.0,0.0,0.0
108,XRPBEAR/USDT,0.0,0.0,0.0,0.0,0.0,0.0
107,XRPBULL/USDT,0.0,0.0,0.0,0.0,0.0,0.0
106,EOSBEAR/USDT,0.0,0.0,0.0,0.0,0.0,0.0
105,EOSBULL/USDT,0.0,0.0,0.0,0.0,0.0,0.0
437,OAX/USDT,0.0,0.0,0.0,0.0,0.0,0.0
436,LOOM/USDT,0.0,0.0,0.0,0.0,0.0,0.0
427,BETH/USDT,0.0,0.0,0.0,0.0,0.0,0.0
426,AMB/USDT,0.0,0.0,0.0,0.0,0.0,0.0
100,WRX/USDT,0.0,0.0,0.0,0.0,0.0,0.0
99,TCT/USDT,0.0,0.0,0.0,0.0,0.0,0.0
97,ETHBULL/USDT,0.0,0.0,0.0,0.0,0.0,0.0
98,ETHBEAR/USDT,0.0,0.0,0.0,0.0,0.0,0.0
96,BEAR/USDT,0.0,0.0,0.0,0.0,0.0,0.0
95,BULL/USDT,0.0,0.0,0.0,0.0,0.0,0.0
240,XLMUP/USDT,0.0,0.0,0.0,0.0,0.0,0.0
94,DREP/USDT,0.0,0.0,0.0,0.0,0.0,0.0
301,KLAY/USDT,0.0,0.0,0.0,0.0,0.0,0.0
303,BOND/USDT,0.0,0.0,0.0,0.0,0.0,0.0
300,ERN/USDT,0.0,0.0,0.0,0.0,0.0,0.0
294,NU/USDT,0.0,0.0,0.0,0.0,0.0,0.0
298,TORN/USDT,0.0,0.0,0.0,0.0,0.0,0.0
299,KEEP/USDT,0.0,0.0,0.0,0.0,0.0,0.0
237,SUSD/USDT,0.0,0.0,0.0,0.0,0.0,0.0
239,SUSHIDOWN/USDT,0.0,0.0,0.0,0.0,0.0,0.0
238,SUSHIUP/USDT,0.0,0.0,0.0,0.0,0.0,0.0
241,XLMDOWN/USDT,0.0,0.0,0.0,0.0,0.0,0.0
458,GFT/USDT,0.0,0.0,0.0,0.0,0.0,0.0
78,HC/USDT,0.0,0.0,0.0,0.0,0.0,0.0
125,GXS/USDT,0.0,0.0,0.0,0.0,0.0,0.0
123,BTCUP/USDT,0.0,0.0,0.0,0.0,0.0,0.0
385,ANC/USDT,0.0,0.0,0.0,0.0,0.0,0.0
375,UST/USDT,0.0,0.0,0.0,0.0,0.0,0.0
147,GBP/USDT,0.0,0.0,0.0,0.0,0.0,0.0
373,OOKI/USDT,0.0,0.0,0.0,0.0,0.0,0.0
144,LINKDOWN/USDT,0.0,0.0,0.0,0.0,0.0,0.0
162,IRIS/USDT,0.0,0.0,0.0,0.0,0.0,0.0
161,BLZ/USDT,0.0,0.0,0.0,0.0,0.0,0.0
118,XZC/USDT,0.0,0.0,0.0,0.0,0.0,0.0
361,RNDR/USDT,0.0,0.0,0.0,0.0,0.0,0.0
359,PLA/USDT,0.0,0.0,0.0,0.0,0.0,0.0
365,ANY/USDT,0.0,0.0,0.0,0.0,0.0,0.0
124,BTCDOWN/USDT,0.0,0.0,0.0,0.0,0.0,0.0
409,NEBL/USDT,0.0,0.0,0.0,0.0,0.0,0.0
113,BNBBULL/USDT,0.0,0.0,0.0,0.0,0.0,0.0
114,BNBBEAR/USDT,0.0,0.0,0.0,0.0,0.0,0.0
116,WTC/USDT,0.0,0.0,0.0,0.0,0.0,0.0
398,MOB/USDT,0.0,0.0,0.0,0.0,0.0,0.0
396,MULTI/USDT,0.0,0.0,0.0,0.0,0.0,0.0
131,REP/USDT,0.0,0.0,0.0,0.0,0.0,0.0
401,GAL/USDT,0.0,0.0,0.0,0.0,0.0,0.0
140,ETHDOWN/USDT,0.0,0.0,0.0,0.0,0.0,0.0
403,EPX/USDT,0.0,0.0,0.0,0.0,0.0,0.0
101,BTS/USDT,0.0,0.0,0.0,0.0,0.0,0.0
139,ETHUP/USDT,0.0,0.0,0.0,0.0,0.0,0.0
143,LINKUP/USDT,0.0,0.0,0.0,0.0,0.0,0.0
142,ADADOWN/USDT,0.0,0.0,0.0,0.0,0.0,0.0
141,ADAUP/USDT,0.0,0.0,0.0,0.0,0.0,0.0
127,LEND/USDT,0.0,0.0,0.0,0.0,0.0,0.0
129,STMX/USDT,0.0,0.0,0.0,0.0,0.0,0.0
420,AGIX/USDT,0.0,0.0,0.0,0.0,0.0,0.0
86,MCO/USDT,0.0,0.0,0.0,0.0,0.0,0.0
90,VITE/USDT,0.0,0.0,0.0,0.0,0.0,0.0
165,SRM/USDT,0.0,0.0,0.0,0.0,0.0,0.0
356,VGX/USDT,0.0,0.0,0.0,0.0,0.0,0.0
352,KP3R/USDT,0.0,0.0,0.0,0.0,0.0,0.0
317,FOR/USDT,0.0,0.0,0.0,0.0,0.0,0.0
228,DNT/USDT,0.0,0.0,0.0,0.0,0.0,0.0
310,TVK/USDT,0.0,0.0,0.0,0.0,0.0,0.0
224,BCHDOWN/USDT,0.0,0.0,0.0,0.0,0.0,0.0
225,AKRO/USDT,0.0,0.0,0.0,0.0,0.0,0.0
218,YFIUP/USDT,0.0,0.0,0.0,0.0,0.0,0.0
217,FILDOWN/USDT,0.0,0.0,0.0,0.0,0.0,0.0
223,BCHUP/USDT,0.0,0.0,0.0,0.0,0.0,0.0
219,YFIDOWN/USDT,0.0,0.0,0.0,0.0,0.0,0.0
216,FILUP/USDT,0.0,0.0,0.0,0.0,0.0,0.0
214,SXPDOWN/USDT,0.0,0.0,0.0,0.0,0.0,0.0
307,CLV/USDT,0.0,0.0,0.0,0.0,0.0,0.0
213,SXPUP/USDT,0.0,0.0,0.0,0.0,0.0,0.0
156,XTZDOWN/USDT,0.0,0.0,0.0,0.0,0.0,0.0
158,AUD/USDT,0.0,0.0,0.0,0.0,0.0,0.0
135,BKRW/USDT,0.0,0.0,0.0,0.0,0.0,0.0
133,PNT/USDT,0.0,0.0,0.0,0.0,0.0,0.0
364,MC/USDT,0.0,0.0,0.0,0.0,0.0,0.0
188,TRXUP/USDT,0.0,0.0,0.0,0.0,0.0,0.0
169,OCEAN/USDT,0.0,0.0,0.0,0.0,0.0,0.0
166,ANT/USDT,0.0,0.0,0.0,0.0,0.0,0.0
150,DAI/USDT,0.0,0.0,0.0,0.0,0.0,0.0
153,BNBUP/USDT,0.0,0.0,0.0,0.0,0.0,0.0
154,BNBDOWN/USDT,0.0,0.0,0.0,0.0,0.0,0.0
155,XTZUP/USDT,0.0,0.0,0.0,0.0,0.0,0.0
337,CVP/USDT,0.0,0.0,0.0,0.0,0.0,0.0
175,WNXM/USDT,0.0,0.0,0.0,0.0,0.0,0.0
177,BZRX/USDT,0.0,0.0,0.0,0.0,0.0,0.0
179,YFII/USDT,0.0,0.0,0.0,0.0,0.0,0.0
205,UNIUP/USDT,0.0,0.0,0.0,0.0,0.0,0.0
203,HNT/USDT,0.0,0.0,0.0,0.0,0.0,0.0
199,NBS/USDT,0.0,0.0,0.0,0.0,0.0,0.0
197,LTCDOWN/USDT,0.0,0.0,0.0,0.0,0.0,0.0
348,RGT/USDT,0.0,0.0,0.0,0.0,0.0,0.0
321,TRIBE/USDT,0.0,0.0,0.0,0.0,0.0,0.0
196,LTCUP/USDT,0.0,0.0,0.0,0.0,0.0,0.0
346,DAR/USDT,0.0,0.0,0.0,0.0,0.0,0.0
190,XRPUP/USDT,0.0,0.0,0.0,0.0,0.0,0.0
191,XRPDOWN/USDT,0.0,0.0,0.0,0.0,0.0,0.0
193,DOTDOWN/USDT,0.0,0.0,0.0,0.0,0.0,0.0
192,DOTUP/USDT,0.0,0.0,0.0,0.0,0.0,0.0
189,TRXDOWN/USDT,0.0,0.0,0.0,0.0,0.0,0.0
186,EOSUP/USDT,0.0,0.0,0.0,0.0,0.0,0.0
187,EOSDOWN/USDT,0.0,0.0,0.0,0.0,0.0,0.0
17,VEN/USDT,0.0,0.0,0.0,0.0,0.0,0.0
20,PAX/USDT,0.0,0.0,0.0,0.0,0.0,0.0
207,ORN/USDT,0.0,0.0,0.0,0.0,0.0,0.0
336,FRONT/USDT,0.0,0.0,0.0,0.0,0.0,0.0
206,UNIDOWN/USDT,0.0,0.0,0.0,0.0,0.0,0.0
326,POLY/USDT,0.0,0.0,0.0,0.0,0.0,0.0
270,RAMP/USDT,0.0,0.0,0.0,0.0,0.0,0.0
274,AUTO/USDT,0.0,0.0,0.0,0.0,0.0,0.0
273,EPS/USDT,0.0,0.0,0.0,0.0,0.0,0.0
25,WAVES/USDT,0.0,0.0,0.0,0.0,0.0,0.0
22,BSV/USDT,0.0,0.0,0.0,0.0,0.0,0.0
21,BCHABC/USDT,0.0,0.0,0.0,0.0,0.0,0.0
246,REEF/USDT,0.0,0.0,0.0,0.0,0.0,0.0
34,XMR/USDT,0.0,0.0,0.0,0.0,0.0,0.0
